file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
level2_pronunciation_data_55,0.0,1.056,mfa_labwav,-59.55697689416274,,,26.658012148651675
level1_pronunciation_data_10,0.0,0.816,mfa_labwav,-50.650194121570124,,,27.531863006751262
level2_pronunciation_data_15,0.0,0.72,mfa_labwav,-61.758076985677086,,,23.136869243022286
level2_pronunciation_data_2,0.0,0.864,mfa_labwav,-53.82565520530523,,,23.435587148798305
level2_pronunciation_data_39,0.0,1.056,mfa_labwav,-56.28604989681604,,,24.77569269970757
level1_pronunciation_data_20,0.0,0.936,mfa_labwav,-54.76711581615692,,,24.559273286890352
level3_pronunciation_data_43,0.0,0.984,mfa_labwav,-50.26694036989796,,,23.07147822238089
level3_pronunciation_data_23,0.0,0.96,mfa_labwav,-54.55646260579427,,,31.62813359514412
level4_pronunciation_data_34,0.0,1.44,mfa_labwav,-69.53379313151042,,,6.493128972568903
level2_pronunciation_data_47,0.0,1.104,mfa_labwav,-54.40044389204545,,,28.222488519548058
level1_pronunciation_data_42,0.0,0.816,mfa_labwav,-48.05929342130335,,,24.546192891988046
level3_pronunciation_data_12,0.0,1.032,mfa_labwav,-49.62514221783981,,,28.89676861700623
level2_pronunciation_data_43,0.0,1.056,mfa_labwav,-50.612106611143865,,,23.215728504610674
level2_pronunciation_data_49,0.0,0.696,mfa_labwav,-55.32239467075893,,,23.143388548087636
level4_pronunciation_data_11,0.0,1.392,mfa_labwav,-47.598506351169064,,,29.800606580879787
level1_pronunciation_data_32,0.0,0.816,mfa_labwav,-55.313553972942074,,,20.08532267303464
level3_pronunciation_data_3,0.0,0.936,mfa_labwav,-57.490743434175535,,,21.885122531817878
level2_pronunciation_data_42,0.0,0.96,mfa_labwav,-53.77220662434896,,,24.70413290028993
level2_pronunciation_data_54,0.0,0.936,mfa_labwav,-51.70155626662234,,,22.989632507219035
level2_pronunciation_data_14,0.0,0.696,mfa_labwav,-58.674693080357144,,,20.048864435342676
level2_pronunciation_data_51,0.0,0.696,mfa_labwav,-57.89324776785714,,,17.96177153990824
level3_pronunciation_data_44,0.0,1.104,mfa_labwav,-51.15861150568182,,,22.93182097357723
level2_pronunciation_data_30,0.0,1.008,mfa_labwav,-54.98201577970297,,,19.176343964163824
level4_pronunciation_data_39,0.0,1.968,mfa_labwav,-54.953863618337564,,,24.55062623390139
level4_pronunciation_data_17,0.0,1.008,mfa_labwav,-51.949987430383665,,,27.08135863156324
level4_pronunciation_data_23,0.0,1.656,mfa_labwav,-55.4336172816265,,,35.0904579041208
level3_pronunciation_data_31,0.0,1.248,mfa_labwav,-54.01341015625,,,21.682422483613234
level2_pronunciation_data_53,0.0,0.936,mfa_labwav,-52.718557804188826,,,22.490173912684213
level1_pronunciation_data_22,0.0,0.792,mfa_labwav,-50.823248368275316,,,18.6423855972751
level4_pronunciation_data_2,0.0,1.656,mfa_labwav,-51.9240281438253,,,27.193379525183456
level3_pronunciation_data_50,0.0,1.128,mfa_labwav,-58.94088772123894,,,15.141057263008708
level4_pronunciation_data_36,0.0,1.8,mfa_labwav,-52.93192816840278,,,22.16267254091249
level1_pronunciation_data_11,0.0,0.816,mfa_labwav,-52.36254287347561,,,23.04876550835882
level2_pronunciation_data_36,0.0,1.008,mfa_labwav,-53.29566154857673,,,23.804943200601688
